Run #1,Run #1,Run #1,Run #1,Run #1,Run #2,Run #2,Run #2,Run #2,Run #2,Run #3,Run #3,Run #3,Run #3,Run #3
Time (s),Displacement (mm),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Displacement (mm),Position (m),Velocity (m/s),Acceleration (m/s²),Time (s),Displacement (mm),Position (m),Velocity (m/s),Acceleration (m/s²)
0.000,0.0000,0.000032727,,,0.000,-6.3119,-0.00017200,,,0.000,-6.3119,-0.000015823,,
0.010,,-0.0027046,0.04,,0.010,,-0.00023504,0.05,,0.010,,0.00018783,0.00,
0.020,,0.00092317,0.16,-13.13,0.020,,0.00092729,-0.20,-7.73,0.020,,0.000063309,-0.05,-0.40
0.030,,0.00050321,-0.22,-17.88,0.030,,-0.0042205,-0.10,19.46,0.030,,-0.00075115,0.00,4.69
0.040,,-0.0034400,-0.20,10.87,0.040,,-0.0010634,0.19,-2.13,0.040,,-0.000015823,0.05,0.24
0.050,,-0.0034400,-7.79E-4,9.20,0.050,,-0.00042023,-0.14,-9.59,0.050,,0.00018783,7.91E-4,-3.25
0.060,,-0.0034556,-0.01,12.43,0.060,,-0.0039080,0.00,18.40,0.060,,0.0000,-0.02,4.37
0.070,,-0.0037037,0.25,15.63,0.070,,-0.00045425,0.23,10.85,0.070,,-0.00017397,0.09,9.95
0.080,,0.0015005,0.30,-17.36,0.080,,0.00060716,0.22,-9.83,0.080,,0.0017647,0.18,-5.11
0.090,,0.0022861,-0.10,-17.24,0.090,,0.0038515,0.03,-21.25,0.090,,0.0034440,-0.01,-16.91
0.100,,-0.00048550,-0.05,4.69,0.100,,0.0011903,-0.21,-16.20,0.100,,0.0014873,-0.16,-6.11
0.110,,0.0013780,-0.01,-4.77,0.110,,-0.00034138,-0.29,6.72,0.110,,0.00029871,-0.14,4.97
0.120,,-0.00059370,-0.14,-10.87,0.120,,-0.0047051,-0.08,20.09,0.120,,-0.0012355,-0.06,7.82
0.130,,-0.0014379,-0.22,4.97,0.130,,-0.0018450,0.11,6.38,0.130,,-0.00086000,0.02,1.68
0.140,,-0.0050484,-0.04,18.79,0.140,,-0.0025644,0.05,2.07,0.140,,-0.00082843,-0.02,1.52
0.150,,-0.0022673,0.15,4.81,0.150,,-0.00079813,0.15,3.20,0.150,,-0.0013458,0.05,9.66
0.160,,-0.0019859,0.05,3.92,0.160,,0.00040545,0.12,1.62,0.160,,0.00018567,0.17,3.06
0.170,,-0.0011738,0.23,5.84,0.170,,0.0015298,0.18,-6.48,0.170,,0.0020321,0.11,-7.34
0.180,,0.0026435,0.17,-23.77,0.180,,0.0040236,-0.01,-17.62,0.180,,0.0024239,0.02,-12.28
0.190,,0.0022568,-0.24,-14.33,0.190,,0.0012673,-0.17,-2.98,0.190,,0.0024752,-0.13,-10.58
0.200,-0.86360,-0.0022360,-0.12,14.74,0.200,-6.3119,0.00059501,-0.07,2.20,0.200,-6.3119,-0.00024913,-0.19,1.87
0.210,,-0.000046046,0.05,-7.49,0.210,,-0.00018637,-0.13,-4.54,0.210,,-0.0013130,-0.10,10.72
0.220,,-0.0012186,-0.26,-7.82,0.220,,-0.0019543,-0.16,7.93,0.220,,-0.0021740,0.03,6.53
0.230,,-0.0053458,-0.11,25.44,0.230,,-0.0034552,0.03,17.00,0.230,,-0.00081265,0.03,0.15
0.240,,-0.0033297,0.24,10.55,0.240,,-0.0013296,0.18,4.73,0.240,,-0.0014862,0.03,3.40
0.250,,-0.00046883,0.11,-8.80,0.250,,0.000077342,0.13,-5.55,0.250,,-0.00025106,0.10,4.18
0.260,,-0.0012202,0.07,4.54,0.260,,0.0011882,0.07,-6.29,0.260,,0.00056118,0.11,1.39
0.270,,0.00088988,0.20,-1.90,0.270,,0.0013918,0.00,-2.97,0.270,,0.0019844,0.13,-9.53
0.280,,0.0027071,0.03,-21.59,0.280,,0.0011882,0.01,-3.20,0.280,,0.0031637,-0.08,-15.08
0.290,,0.0014888,-0.24,-6.74,0.290,,0.0015186,-0.06,-6.65,0.290,,0.00040738,-0.17,-0.13
0.300,,-0.0020015,-0.10,13.41,0.300,,-0.000093161,-0.13,0.70,0.300,,-0.00026495,-0.08,6.50
0.310,,-0.00060942,0.03,-3.27,0.310,,-0.0010163,-0.05,2.82,0.310,,-0.0012198,-0.04,6.34
0.320,,-0.0013442,-0.17,-1.41,0.320,,-0.0010940,-0.07,-0.71,0.320,,-0.0010951,0.05,3.05
0.330,,-0.0040172,0.00,17.04,0.330,,-0.0024237,-0.06,7.58,0.330,,-0.00031238,0.02,-2.90
0.340,,-0.0012511,0.17,-1.01,0.340,,-0.0023769,0.08,10.40,0.340,,-0.00070379,-0.01,0.82
0.350,,-0.00060942,-0.02,-11.30,0.350,,-0.00079813,0.14,-0.74,0.350,,-0.00056339,0.04,0.97
